Var1,Freq
01/02/09,1000
01/04/05,1000
01/25/18,1000
01/31/17,1000
02/01/12,1000
02/24/13,1000
02/28/17,1000
03/03/13,1000
03/06/17,1000
03/07/12,1000
03/10/17,1000
03/13/17,1000
03/24/13,1000
03/31/16,1000
04/02/18,1000
04/05/17,1000
04/10/17,1000
04/17/17,1000
04/19/06,1000
04/20/17,1000
04/24/17,1000
04/30/18,1000
05/01/12,1000
05/01/17,1000
05/02/17,1000
05/03/17,1000
05/31/18,1000
06/01/10,1000
06/01/11,1000
06/01/15,1000
06/02/08,1000
06/02/10,1000
06/03/10,1000
06/04/10,1000
06/08/15,1000
06/10/19,1000
06/12/15,1000
06/15/15,1000
06/18/09,1000
06/18/15,1000
06/27/18,1000
06/30/17,1000
07/01/09,1000
07/06/15,1000
07/31/15,1000
07/31/17,1000
07/31/18,1000
08/01/11,1000
08/03/07,1000
08/03/15,1000
08/04/11,1000
08/05/11,1000
08/06/09,1000
08/06/18,1000
08/08/11,1000
08/09/11,1000
08/10/11,1000
08/12/19,1000
08/13/07,1000
08/20/18,1000
08/29/14,1000
08/31/18,1000
09/01/11,1000
09/02/08,1000
09/02/11,1000
09/04/18,1000
09/10/02,1000
09/15/11,1000
09/18/17,1000
09/27/18,1000
09/28/11,1000
09/28/15,1000
10/26/18,1000
10/28/05,1000
10/29/18,1000
10/31/11,1000
10/31/18,1000
11/04/13,1000
11/07/13,1000
11/08/07,1000
11/08/13,1000
11/12/13,1000
11/14/13,1000
11/16/07,1000
11/18/13,1000
11/19/13,1000
11/20/08,1000
11/22/13,1000
11/25/13,1000
11/26/13,1000
11/29/13,1000
11/29/18,1000
12/03/12,1000
12/09/13,1000
12/10/18,1000
12/12/13,1000
12/13/13,1000
12/15/09,1000
12/16/13,1000
12/17/13,1000
12/19/13,1000
12/20/13,1000
12/23/04,1000
12/23/13,1000
12/24/13,1000
12/29/04,1000
12/30/04,1000
12/31/13,1000
12/31/18,1000
